code,label
"int add(int a, int b) { return a + b; }",O(1)
"void printFirst(int arr[], int n) { if(n>0) printf(""%d"", arr[0]); }",O(1)
int check(int n) { return (n % 2 == 0) ? 1 : 0; },O(1)
"void fixedLoop(int n) { for(int i=0; i<10; i++) printf(""%d"", i); }",O(1)
"int getMid(int arr[], int n) { return arr[n/2]; }",O(1)
"void noLoop(int n) { int x=n*10; int y=x/2; printf(""%d"", y); }",O(1)
void trickComment(int n) { int a=5; // for loop here just kidding return a; },O(1)
int constantTime(int n) { int i=0; if(i<n) i++; return i; },O(1)
"void rapid(int n) { int k=0; k=n+5; k=k*2; printf(""%d"", k); }",O(1)
int small(int arr[]) { return arr[0] + arr[1] + arr[2]; },O(1)
void messy(int n){int a=0;a++;a+=n;return;},O(1)
void fixedWhile(int n) { int i=0; while(i<5) { i++; } },O(1)
"int access(int arr[], int idx) { return arr[idx]; }",O(1)
"void complexCalc(int n) { float x = sqrt(n); printf(""%f"", x); }",O(1)
"void commentTrap(int n) { /* while(i<n) */ int x=10; printf(""%d"", x); }",O(1)
int isPositive(int n) { if(n > 0) return 1; return 0; },O(1)
"void fixedMath(int n) { int x = n * 1000; int y = x / 50; printf(""%d"", y); }",O(1)
void loopTrap(int n) { for(int i=0; i<100; i++) { int z = n+i; } },O(1)
"int lastElement(int arr[], int n) { return arr[n-1]; }",O(1)
"void swap(int *a, int *b) { int t = *a; *a = *b; *b = t; }",O(1)
"void bitwise(int n) { int x = n << 1; printf(""%d"", x); }",O(1)
void redundant(int n) { int a=n; int b=n; int c=a+b; },O(1)
int checkZero(int n) { return (n == 0); },O(1)
void tinyLoop(int n) { int k=0; do { k++; } while(k<3); },O(1)
"void commentFake(int n) { // for(int i=0; i<n; i++) recursive call printf(""Done""); }",O(1)
"void traverse(int arr[], int n) { for(int i=0; i<n; i++) printf(""%d"", arr[i]); }",O(n)
"int sumArray(int arr[], int n) { int s=0; for(int k=0; k<n; k++) s+=arr[k]; return s; }",O(n)
void whileLoop(int n) { int i=0; while(i<n) { i++; } },O(n)
"void backwards(int n) { for(int i=n; i>0; i--) printf(""%d"", i); }",O(n)
"void stepTwo(int n) { for(int i=0; i<n; i+=2) printf(""%d"", i); }",O(n)
void twoLoops(int n) { for(int i=0; i<n; i++) x++; for(int j=0; j<n; j++) y++; },O(n)
"int findMax(int arr[], int n) { int m=0; for(int idx=0; idx<n; idx++) if(arr[idx]>m) m=arr[idx]; return m; }",O(n)
void weirdVars(int n) { int apple=0; while(apple<n) { apple++; } },O(n)
"void oneliner(int n){for(int x=0;x<n;x++){printf(""*"");}}",O(n)
"void printEven(int n) { for(int i=0; i<n; i++) if(i%2==0) printf(""%d"", i); }",O(n)
void logicInside(int n) { int k=0; while(k<n) { if(k==5) break; k++; } },O(n)
"void arrayFill(int arr[], int n) { int c=0; do { arr[c]=c; c++; } while(c<n); }",O(n)
void spacedOut(int n) { for ( int z = 0 ; z < n ; z++ ) { x++ ; } },O(n)
void stringLen(char* s) { int i=0; while(s[i]!='\0') i++; },O(n)
"void multiVar(int n) { for(int a=0, b=0; a<n; a++, b++) printf(""%d"", a+b); }",O(n)
"void halfLoop(int n) { for(int i=0; i<n/2; i++) printf(""%d"", i); }",O(n)
"void copyArray(int a[], int b[], int n) { for(int i=0; i<n; i++) a[i]=b[i]; }",O(n)
"void search(int arr[], int n, int key) { for(int i=0; i<n; i++) if(arr[i]==key) return; }",O(n)
void increment(int n) { int count=0; for(int i=0; i<n; i++) count++; },O(n)
void messyLoop(int n){int i=0;for(;i<n;){i++;}},O(n)
"void traverse(int arr[], int n) { for(int i=0; i<n; i++) printf(""%d"", arr[i]); }",O(n)
"int sumArray(int arr[], int n) { int s=0; for(int k=0; k<n; k++) s+=arr[k]; return s; }",O(n)
void whileLoop(int n) { int i=0; while(i<n) { i++; } },O(n)
"void backwards(int n) { for(int i=n; i>0; i--) printf(""%d"", i); }",O(n)
"void stepTwo(int n) { for(int i=0; i<n; i+=2) printf(""%d"", i); }",O(n)
void twoLoops(int n) { for(int i=0; i<n; i++) x++; for(int j=0; j<n; j++) y++; },O(n)
"int findMax(int arr[], int n) { int m=0; for(int idx=0; idx<n; idx++) if(arr[idx]>m) m=arr[idx]; return m; }",O(n)
void weirdVars(int n) { int apple=0; while(apple<n) { apple++; } },O(n)
"void oneliner(int n){for(int x=0;x<n;x++){printf(""*"");}}",O(n)
"void printEven(int n) { for(int i=0; i<n; i++) if(i%2==0) printf(""%d"", i); }",O(n)
void logicInside(int n) { int k=0; while(k<n) { if(k==5) break; k++; } },O(n)
"void arrayFill(int arr[], int n) { int c=0; do { arr[c]=c; c++; } while(c<n); }",O(n)
void spacedOut(int n) { for ( int z = 0 ; z < n ; z++ ) { x++ ; } },O(n)
void stringLen(char* s) { int i=0; while(s[i]!='\0') i++; },O(n)
"void multiVar(int n) { for(int a=0, b=0; a<n; a++, b++) printf(""%d"", a+b); }",O(n)
"void halfLoop(int n) { for(int i=0; i<n/2; i++) printf(""%d"", i); }",O(n)
"void copyArray(int a[], int b[], int n) { for(int i=0; i<n; i++) a[i]=b[i]; }",O(n)
"void search(int arr[], int n, int key) { for(int i=0; i<n; i++) if(arr[i]==key) return; }",O(n)
void increment(int n) { int count=0; for(int i=0; i<n; i++) count++; },O(n)
void messyLoop(int n){int i=0;for(;i<n;){i++;}},O(n)
"void nested(int n) { for(int i=0; i<n; i++) for(int j=0; j<n; j++) printf(""*""); }",O(n^2)
"void bubbleSort(int arr[], int n) { for(int i=0; i<n; i++) for(int j=0; j<n-1; j++) swap(i,j); }",O(n^2)
"void triangle(int n) { for(int i=0; i<n; i++) for(int k=0; k<=i; k++) printf(""%d"", k); }",O(n^2)
void diffVars(int n) { for(int row=0; row<n; row++) for(int col=0; col<n; col++) x++; },O(n^2)
void whileNested(int n) { int i=0; while(i<n) { int j=0; while(j<n) { j++; } i++; } },O(n^2)
void mixedLoops(int n) { for(int i=0; i<n; i++) { int j=0; while(j<n) j++; } },O(n^2)
"void selectionSort(int arr[], int n) { for(int i=0; i<n-1; i++) for(int j=i+1; j<n; j++) x++; }",O(n^2)
"void reverseNested(int n) { for(int i=n; i>0; i--) for(int j=n; j>0; j--) printf(""*""); }",O(n^2)
void crowded(int n){for(int i=0;i<n;i++){for(int j=0;j<n;j++){x++;}}},O(n^2)
void matrixAdd(int n) { for(int i=0; i<n; i++) for(int j=0; j<n; j++) C[i][j]=A[i][j]+B[i][j]; },O(n^2)
void steps(int n) { for(int i=0; i<n; i+=1) for(int j=0; j<n; j+=1) count++; },O(n^2)
void weirdNames(int n) { for(int x=0; x<n; x++) for(int y=0; y<n; y++) z++; },O(n^2)
"void dependent(int n) { for(int i=0; i<n; i++) for(int j=i; j<n; j++) printf(""%d"", j); }",O(n^2)
"void printGrid(int n) { int i, j; for(i=0; i<n; i++) for(j=0; j<n; j++) printf(""%d "", j); }",O(n^2)
void slowSum(int n) { int sum=0; for(int i=0; i<n; i++) for(int j=0; j<n; j++) sum++; },O(n^2)
"void nested(int n) { for(int i=0; i<n; i++) for(int j=0; j<n; j++) printf(""*""); }",O(n^2)
"void bubbleSort(int arr[], int n) { for(int i=0; i<n; i++) for(int j=0; j<n-1; j++) swap(i,j); }",O(n^2)
"void triangle(int n) { for(int i=0; i<n; i++) for(int k=0; k<=i; k++) printf(""%d"", k); }",O(n^2)
void diffVars(int n) { for(int row=0; row<n; row++) for(int col=0; col<n; col++) x++; },O(n^2)
void whileNested(int n) { int i=0; while(i<n) { int j=0; while(j<n) { j++; } i++; } },O(n^2)
void mixedLoops(int n) { for(int i=0; i<n; i++) { int j=0; while(j<n) j++; } },O(n^2)
"void selectionSort(int arr[], int n) { for(int i=0; i<n-1; i++) for(int j=i+1; j<n; j++) x++; }",O(n^2)
"void reverseNested(int n) { for(int i=n; i>0; i--) for(int j=n; j>0; j--) printf(""*""); }",O(n^2)
void crowded(int n){for(int i=0;i<n;i++){for(int j=0;j<n;j++){x++;}}},O(n^2)
void matrixAdd(int n) { for(int i=0; i<n; i++) for(int j=0; j<n; j++) C[i][j]=A[i][j]+B[i][j]; },O(n^2)
void steps(int n) { for(int i=0; i<n; i+=1) for(int j=0; j<n; j+=1) count++; },O(n^2)
void weirdNames(int n) { for(int x=0; x<n; x++) for(int y=0; y<n; y++) z++; },O(n^2)
"void dependent(int n) { for(int i=0; i<n; i++) for(int j=i; j<n; j++) printf(""%d"", j); }",O(n^2)
"void printGrid(int n) { int i, j; for(i=0; i<n; i++) for(j=0; j<n; j++) printf(""%d "", j); }",O(n^2)
void slowSum(int n) { int sum=0; for(int i=0; i<n; i++) for(int j=0; j<n; j++) sum++; },O(n^2)
"void f(n){ for(i=0;i<n;i++){ for(j=0;j<n;j++){ x++; }}}","O(n^2)"
"void f(n){ for(i=0;i<n;i++){ for(j=0;j<i;j++){ x++; }}}","O(n^2)"
"void f(n){ while(i<n){ while(j<n){ j++; } i++; }}","O(n^2)"
"void sort(n){ for(i=0;i<n;i++){ for(j=0;j<n;j++){ swap(); }}}","O(n^2)"
"void nested(n){ for(a=0;a<n;a++){ for(b=0;b<n;b++){ printf(a,b); }}}","O(n^2)"
"void matrix(n){ for(r=0;r<n;r++){ for(c=0;c<n;c++){ m[r][c]=0; }}}","O(n^2)"
"void slow(n){ for(i=0;i<n;i++) { for(j=0;j<n;j++) { sum+=i*j; } } }","O(n^2)"
"void pairs(n){ for(x=0;x<n;x++){ for(y=0;y<n;y++){ check(x,y); }}}","O(n^2)"